ADBE,ABNB,ALGN,AMZN,AMGN,AEP,ADI,ANSS,AAPL,AMAT,ASML,TEAM,ADSK,ATVI,ADP,AZN,AVGO,BIDU,BIIB,BMRN,BKNG,CDNS,CHTR,CPRT,CRWD,CTAS,CSCO,CMCSA,COST,CSX,CTSH,DDOG,DOCU,DXCM,DLTR,EA,EBAY,EXC,FAST,META,FISV,FTNT,GILD,GOOG,GOOGL,HON,ILMN,INTC,INTU,ISRG,MRVL,IDXX,JD,KDP,KLAC,KHC,LRCX,LCID,LULU,MELI,MAR,MTCH,MCHP,MDLZ,MRNA,MNST,MSFT,MU,NFLX,NTES,NVDA,NXPI,OKTA,ODFL,ORLY,PCAR,PANW,PAYX,PDD,PYPL,PEP,QCOM,REGN,ROST,SIRI,SGEN,SPLK,SWKS,SBUX,SNPS,TSLA,TXN,TMUS,VRSN,VRSK,VRTX,WBA,WDAY,XEL,ZM,ZS
0.005214693,0.49566809,0.100017782,0.268672245,0.423074995,0.345064295,0.326133953,0.195407689,0.362563362,0.45363865,0,0.095630222,0.156983296,0.363315085,0.308571298,0.324972658,0.839906047,0.445219176,0.307480461,0.3007348,0.101886465,0.303338347,0.059337825,0.297698689,0.287751434,0.179127283,0.334699883,0.31234995,0.692250428,0.338716515,0.340170434,0.283063336,0.252505696,0.022180762,0.424282161,0.300633601,0.314458362,0.344239581,0.320260748,0.126113747,0.318042865,0.481755181,0.324396437,0.168348385,0.260147891,0.258544519,0.462145609,0.363258878,0.089052266,0.122939639,0.336165777,0.159188809,0.310766939,0.338283992,0.574748059,0.344277173,0.571851532,0.359102041,0.066329352,0.681109337,0.376156575,0.247963431,0.343306011,0.327360828,0.024122469,0.292808981,0.331364395,0.398234658,0.113163882,0.380226662,0.445701752,0.398015189,0.267311304,0.426782524,0.662988695,0.361838913,0.785654098,0.34117479,0.253306568,0.403624152,0.302751069,0.347598601,0.319374156,0.275996313,0.325961526,0.213935714,0.240757525,0.372240563,0.270603259,0.295976474,0.475051603,0.349669178,0.311425566,0.265405639,0.191144229,0.39402057,0.360816767,0.281237116,0.331262442,0.421014237,0.226490941
0.536274039,0.756797445,0.705860678,0.643420562,0.743470939,0.700785695,0.664474775,0.576989557,0.709709608,0.716595557,0.095630222,0,0.59719097,0.715675654,0.663997592,0.676199453,0.825312813,0.718047613,0.663791502,0.657042527,0.16245905,0.684807761,0.540683029,0.594283676,0.632934982,0.444510036,0.687982145,0.6736484,0.930055023,0.690332949,0.692599991,0.683464247,0.746823958,0.059071347,0.750218638,0.662224351,0.665661201,0.694402923,0.678620104,0.691389541,0.681292779,0.71504796,0.67238637,0.084337023,0.146907677,0.635158861,0.735272173,0.705263731,0.182866076,0.483614028,0.678330567,0.546361119,0.658103806,0.690562817,0.545522419,0.693848835,0.401661189,0.684801014,0.247153366,0.767955054,0.68592388,0.631944969,0.685857623,0.680631308,0.318908275,0.661854967,0.634891922,0.727146689,0.649711474,0.712435846,0.620566439,0.67510107,0.681825186,0.622334592,0.700178892,0.691651311,0.934743688,0.699058415,0.610396281,0.839080196,0.652183764,0.679604665,0.487266828,0.654532231,0.67934589,0.550912977,0.587509389,0.707093392,0.642570681,0.633315086,0.31135783,0.684519524,0.690864823,0.676769782,0.525974793,0.718698391,0.700586267,0.665941066,0.690600725,0.847654843,0.220031276
0.210355795,0.450077523,0.253201913,0.532858781,0.809897937,0.887323323,0.701528417,0.175024243,0.949128687,0.596209085,0.156983296,0.59719097,0,0.82779323,0.867104371,0.787859459,0.940385315,0.604426641,0.09617925,0.801889026,0.203105218,0.932981262,0.35072081,0.691411435,0.062297624,0.776301009,0.827549584,0.725565288,0.987719623,0.850746251,0.920914624,0.893749487,0.500798068,0.571666057,0.962717297,0.6948981,0.615509111,0.879855705,0.822821866,0.228145916,0.686907759,0.770689214,0.69157653,0.109039275,0.190835918,0.295104786,0.07850513,0.761979089,0.402212082,0.764526874,0.888320565,0.379893314,0.674247355,0.832246822,0.380063806,0.812987922,0.038343762,0.741200924,0.469863788,0.721519632,0.843234105,0.141664378,0.795546278,0.820728822,0.248317313,0.680588406,0.796136195,0.840231239,0.631540909,0.568789602,0.693898147,0.349527901,0.03022832,0.804911658,0.869481041,0.775888447,0.876393239,0.923756609,0.411098147,0.541317691,0.902652694,0.934699099,0.791846374,0.422421022,0.801298704,0.417838335,0.700365459,0.215964772,0.46279037,0.911824893,0.510720144,0.613668768,0.771217197,0.873104786,0.827286521,0.955370102,0.752516115,0.41816106,0.839950516,0.912738015,0.591352838
0.793446875,0.18277549,0.687144935,0.561146914,0.024698263,0.673085363,0.490186993,0.475039048,0.776362012,0.279003084,0.363315085,0.715675654,0.82779323,0,0.666272669,0.56932075,0.671322445,0.514276327,0.518689129,0.551679631,0.097553807,0.495587576,0.793314708,0.796851155,0.585291699,0.672784277,0.591643356,0.464709773,0.920167015,0.620349192,0.743567947,0.708842966,0.916074336,0.647154812,0.829356386,0.372462119,0.58130519,0.71522531,0.663045162,0.772429936,0.258202147,0.543676682,0.485752162,0.190290241,0.22128099,0.598320822,0.533733232,0.217836612,0.59043817,0.681421769,0.688444109,0.605727317,0.416717235,0.57102858,0.344963319,0.435984536,0.13808065,0.39515906,0.773015503,0.776085512,0.463023346,0.749369416,0.497036062,0.608814319,0.568587504,0.565630876,0.524639308,0.296282746,0.881044873,0.11636619,0.59757186,0.259434814,0.391368968,0.517236518,0.634822365,0.303880257,0.779130537,0.746544635,0.716830138,0.99440119,0.799899091,0.611571146,0.63820787,0.513517959,0.557738458,0.427867404,0.395445117,0.261535778,0.738427091,0.663282032,0.480062131,0.539765105,0.235271782,0.586343907,0.760629859,0.505908497,0.279429914,0.368980335,0.575850483,0.98468404,0.649466187
0.817275317,0.54209951,0.751960866,0.645651799,0.720663172,0.540467631,0.501780874,0.338193215,0.351992891,0.064194653,0.308571298,0.663997592,0.867104371,0.666272669,0,0.521082678,0.589089151,0.71596644,0.736119288,0.453500369,0.082445032,0.184503793,0.832088101,0.545482784,0.643710479,0.220181181,0.555431432,0.651089161,0.945781972,0.538396078,0.455705689,0.352188885,0.932054891,0.578267079,0.591376266,0.558693096,0.642785259,0.510436176,0.42334083,0.961148466,0.69566419,0.55779378,0.640780807,0.133052794,0.197337941,0.872340361,0.775947511,0.712511135,0.645159144,0.450866351,0.280022071,0.616055124,0.589576734,0.560475891,0.080920141,0.607674984,0.063728509,0.40503382,0.737453534,0.792284966,0.378595964,0.838134619,0.581949987,0.524478775,0.566357787,0.69430701,0.219317357,0.640481021,0.961160811,0.669300654,0.540521676,0.436520471,0.611414888,0.271574734,0.589056261,0.676246041,0.812881354,0.42886813,0.726544522,0.991665421,0.229199342,0.289807652,0.499556715,0.815442798,0.547920375,0.381863232,0.398443811,0.842707661,0.806492176,0.337616532,0.39309477,0.612673547,0.639302766,0.080399994,0.094617401,0.431597096,0.682285679,0.159214133,0.535178493,0.96355112,0.4326864
0.775300932,0.204690423,0.678732971,0.210915981,0.529848084,0.372835628,0.068534598,0.263624119,0.64193457,0.019133729,0.324972658,0.676199453,0.787859459,0.56932075,0.521082678,0,0.601375782,0.647285568,0.641402059,0.057184815,0.089607162,0.488636072,0.799799208,0.688680098,0.532308869,0.54489892,0.06790482,0.620230272,0.927332253,0.168994737,0.36464029,0.586124258,0.92076564,0.597789699,0.807170656,0.075866917,0.15855627,0.494605345,0.146582762,0.971593464,0.605075857,0.493649987,0.3470669,0.181085841,0.210693281,0.890006551,0.643754055,0.70539977,0.61718274,0.582479515,0.505057761,0.576309051,0.371099239,0.168004245,0.203030165,0.44645534,0.097252729,0.128835234,0.725969857,0.776551824,0.155743197,0.806571121,0.28051363,0.080275335,0.551803301,0.565281998,0.389308751,0.457718946,0.89475263,0.353172264,0.543445424,0.024618658,0.693647087,0.442307701,0.611405255,0.430668667,0.734966689,0.647265281,0.730381439,0.993219921,0.721857086,0.391667638,0.579719278,0.958464718,0.211277602,0.191597598,0.314122774,0.714872801,0.895479527,0.550352225,0.430998694,0.094248824,0.428437237,0.313138458,0.398505639,0.570803434,0.367540217,0.150627961,0.213270617,0.980841246,0.554089773
0.793111372,0.819188015,0.9635953,0.78388863,0.686836333,0.556475335,0.786028771,0.9219642,0.49157929,0.816378875,0.839906047,0.825312813,0.940385315,0.671322445,0.589089151,0.601375782,0,0.788539153,0.833389811,0.581026513,0.187965564,0.609139528,0.892098027,0.750160556,0.892981339,0.670608111,0.608739829,0.663066743,0.322901061,0.585864021,0.535783816,0.322475956,0.908544192,0.758938472,0.360597809,0.676259789,0.706127681,0.54727584,0.601596705,0.979269113,0.703379637,0.46099199,0.650820544,0.13761771,0.199451275,0.810405759,0.92300843,0.687129477,0.799272908,0.786592151,0.587685215,0.881646103,0.671421093,0.588454895,0.156578874,0.612496995,0.870502805,0.635151382,0.866285034,0.879187402,0.62542795,0.854038856,0.715984027,0.584120963,0.774144699,0.697496637,0.665357442,0.668836396,0.991878149,0.759393426,0.173739741,0.907668666,0.909415685,0.408859673,0.204702206,0.648430176,0.15987747,0.544565634,0.815239522,0.961121728,0.464921849,0.514988928,0.308519182,0.783690196,0.594414901,0.672028559,0.627350696,0.908134115,0.769850764,0.554319317,0.314485493,0.796886583,0.693384155,0.571520342,0.461795151,0.376789706,0.657259436,0.740516383,0.580457201,0.975142623,0.796405926
0.760370527,0.416507431,0.609306268,0.58592618,0.512778763,0.672707719,0.629317186,0.576951536,0.781585967,0.5747744,0.445219176,0.718047613,0.604426641,0.514276327,0.71596644,0.647285568,0.788539153,0,0.397486896,0.629241521,0.263358875,0.737227942,0.695206843,0.692309288,0.609379404,0.726618574,0.653729784,0.590100022,0.923037701,0.651616617,0.697347056,0.764193995,0.775410136,0.692090646,0.765038619,0.592394211,0.608448077,0.681626848,0.657772264,0.721279657,0.509129471,0.722233669,0.594333695,0.190400543,0.264811258,0.547002367,0.493359193,0.549081382,0.665647582,0.750145071,0.713663155,0.653849415,0.576043581,0.641158342,0.499929832,0.613185898,0.21963688,0.579820989,0.726870087,0.703393716,0.651604393,0.613024321,0.620765942,0.648669891,0.540693293,0.581516997,0.708479137,0.585275446,0.782012444,0.57316812,0.742292609,0.538502239,0.43139496,0.716476736,0.772069324,0.545942618,0.873262151,0.736817571,0.014408764,0.853317148,0.737367768,0.726611888,0.765755134,0.483533426,0.621671314,0.562603142,0.562582118,0.425741844,0.566145248,0.766275577,0.558423454,0.588980061,0.598832115,0.720324088,0.726118733,0.708259334,0.567778781,0.622203253,0.643461388,0.947343484,0.734448855
0.520714773,0.508341,0.219384309,0.415092684,0.619820423,0.694352961,0.557220802,0.333888882,0.786383478,0.597186597,0.307480461,0.663791502,0.09617925,0.518689129,0.736119288,0.641402059,0.833389811,0.397486896,0,0.607020363,0.239906228,0.704682955,0.11206036,0.313928047,0.078181067,0.657924677,0.665748322,0.550407116,0.949358702,0.664406844,0.712345682,0.770020341,0.178293619,0.641091165,0.83210278,0.479495515,0.567317076,0.709104372,0.655892054,0.213632313,0.486868734,0.779248058,0.609873043,0.180861954,0.269365807,0.302128647,0.003600812,0.587792919,0.679549562,0.623984732,0.712543031,0.329086445,0.504060962,0.658528527,0.578745769,0.633672577,0.11298855,0.668646759,0.467099907,0.655551127,0.705032771,0.059117589,0.608184094,0.646506284,0.302637383,0.506987194,0.749595045,0.406402938,0.542781817,0.487195329,0.790140418,0.32923557,0.0918601,0.665571145,0.871802598,0.617183175,0.890681603,0.757549808,0.185349869,0.064759116,0.734215153,0.710654151,0.819020262,0.346613574,0.628595594,0.32657239,0.272027935,0.088617864,0.430543751,0.73535094,0.571614142,0.277873613,0.397848655,0.625552476,0.618968279,0.770017277,0.636345668,0.495258966,0.647285145,0.529256649,0.641533152
0.771478016,0.079976556,0.672769518,0.203856753,0.450292688,0.347120807,0.039869864,0.229988717,0.637049172,0.007245511,0.3007348,0.657042527,0.801889026,0.551679631,0.453500369,0.057184815,0.581026513,0.629241521,0.607020363,0,0.093632946,0.4194623,0.790631494,0.597326263,0.555345838,0.527824112,0.031494881,0.162147895,0.929581669,0.033792716,0.228313978,0.57685501,0.916358697,0.594985917,0.764489476,0.036085564,0.096350232,0.133672819,0.044404332,0.907261527,0.288112394,0.417025479,0.012587106,0.1261418,0.202110591,0.627388393,0.625070394,0.182512629,0.578311923,0.587720941,0.624595749,0.568032655,0.166391562,0.043873201,0.149453629,0.137158866,0.073409666,0.002415874,0.721340936,0.778828548,0.132474055,0.749430688,0.003122047,0.03479514,0.534459567,0.214760548,0.218985267,0.029790787,0.891073236,0.345942724,0.601703861,0.013123338,0.55192665,0.365813591,0.580629737,0.011733714,0.750525939,0.577760535,0.759638079,0.985093401,0.586885256,0.296396408,0.579198049,0.811696426,0.029262258,0.296065734,0.352605476,0.524251118,0.543899782,0.518216756,0.429886859,0.075248976,0.538095529,0.375115804,0.471145304,0.535705049,0.010810886,0.095746105,0.166642878,0.97180092,0.599002599
